"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"57","2019-04-23T22:00:00-00:00","2019-04-23T23:00:00-00:00",0,"2019-04-23",16,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6824,"ACTUAL",3
"58","2019-04-24T05:00:00-00:00","2019-04-24T06:00:00-00:00",0,"2019-04-23",23,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6538,"ACTUAL",3
"59","2019-04-24T01:00:00-00:00","2019-04-24T02:00:00-00:00",0,"2019-04-23",19,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7003,"ACTUAL",3
"60","2019-04-23T13:00:00-00:00","2019-04-23T14:00:00-00:00",0,"2019-04-23",7,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6645,"ACTUAL",3
"61","2019-04-23T14:00:00-00:00","2019-04-23T15:00:00-00:00",0,"2019-04-23",8,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7248,"ACTUAL",3
"62","2019-04-23T08:00:00-00:00","2019-04-23T09:00:00-00:00",0,"2019-04-23",2,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5673,"ACTUAL",3
"63","2019-04-24T00:00:00-00:00","2019-04-24T01:00:00-00:00",0,"2019-04-23",18,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7034,"ACTUAL",3
"64","2019-04-23T09:00:00-00:00","2019-04-23T10:00:00-00:00",0,"2019-04-23",3,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5617,"ACTUAL",3
"65","2019-04-23T10:00:00-00:00","2019-04-23T11:00:00-00:00",0,"2019-04-23",4,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5605,"ACTUAL",3
"66","2019-04-23T18:00:00-00:00","2019-04-23T19:00:00-00:00",0,"2019-04-23",12,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7138,"ACTUAL",3
"67","2019-04-24T06:00:00-00:00","2019-04-24T07:00:00-00:00",0,"2019-04-23",24,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6065,"ACTUAL",3
"68","2019-04-23T21:00:00-00:00","2019-04-23T22:00:00-00:00",0,"2019-04-23",15,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6883,"ACTUAL",3
"69","2019-04-24T02:00:00-00:00","2019-04-24T03:00:00-00:00",0,"2019-04-23",20,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6965,"ACTUAL",3
"70","2019-04-24T05:00:00-00:00","2019-04-24T06:00:00-00:00",0,"2019-04-23",23,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,25887,"ACTUAL",4
"71","2019-04-23T09:00:00-00:00","2019-04-23T10:00:00-00:00",0,"2019-04-23",3,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,19832,"ACTUAL",4
"72","2019-04-23T10:00:00-00:00","2019-04-23T11:00:00-00:00",0,"2019-04-23",4,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,19653,"ACTUAL",4
"73","2019-04-23T22:00:00-00:00","2019-04-23T23:00:00-00:00",0,"2019-04-23",16,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,26606,"ACTUAL",4
"74","2019-04-23T21:00:00-00:00","2019-04-23T22:00:00-00:00",0,"2019-04-23",15,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,25923,"ACTUAL",4
"75","2019-04-23T17:00:00-00:00","2019-04-23T18:00:00-00:00",0,"2019-04-23",11,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,23951,"ACTUAL",4
"76","2019-04-23T15:00:00-00:00","2019-04-23T16:00:00-00:00",0,"2019-04-23",9,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,23789,"ACTUAL",4
"77","2019-04-24T01:00:00-00:00","2019-04-24T02:00:00-00:00",0,"2019-04-23",19,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,29148,"ACTUAL",4
"78","2019-04-24T00:00:00-00:00","2019-04-24T01:00:00-00:00",0,"2019-04-23",18,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,28478,"ACTUAL",4
"79","2019-04-23T16:00:00-00:00","2019-04-23T17:00:00-00:00",0,"2019-04-23",10,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,23478,"ACTUAL",4
"80","2019-04-24T06:00:00-00:00","2019-04-24T07:00:00-00:00",0,"2019-04-23",24,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,23747,"ACTUAL",4
"81","2019-04-23T19:00:00-00:00","2019-04-23T20:00:00-00:00",0,"2019-04-23",13,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,24605,"ACTUAL",4
"82","2019-04-23T12:00:00-00:00","2019-04-23T13:00:00-00:00",0,"2019-04-23",6,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,21346,"ACTUAL",4
"83","2019-04-23T08:00:00-00:00","2019-04-23T09:00:00-00:00",0,"2019-04-23",2,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,20360,"ACTUAL",4
"84","2019-04-24T02:00:00-00:00","2019-04-24T03:00:00-00:00",0,"2019-04-23",20,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,29713,"ACTUAL",4
"85","2019-04-23T14:00:00-00:00","2019-04-23T15:00:00-00:00",0,"2019-04-23",8,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,23800,"ACTUAL",4
