Plant Name,1,2,3,4,5,6,7,8,9,10,11,12
Parker Dam,"16,885","25,416","44,199","49,314","48,431","50,126","51,157","44,113","35,677","29,965","20,004","9,265"
Spring Creek,"22,962","25,659","64,676","22,273","21,692","69,287","39,582","35,334","15,394","39,977","6,756","10,828"
Trinity,"6,743","5,853","6,106","21,230","38,024","35,130","36,146","34,891","28,688","30,080","17,701","9,683"
Colgate,"33,599","122,954","224,092","232,523","240,966","207,455","168,190","159,292","57,906","66,144","60,590","64,921"
Narrows 2,"10,131","15,235","30,300","32,570","30,970","30,637","28,356","26,309","19,734","15,310","12,258","14,443"
Bear Valley,132,199,395,425,404,400,370,343,257,200,160,188
Temescal,64,97,192,207,197,195,180,167,125,97,78,92
Corona,138,207,412,443,421,417,386,358,269,208,167,197
Perris,400,602,"1,198","1,287","1,224","1,211","1,121","1,040",780,605,485,571
Rio Hondo,0,0,0,0,0,0,0,0,0,0,0,0
Coyote Creek,0,0,0,0,0,0,0,0,0,0,0,0
Red Mountain,0,0,0,0,0,0,0,0,0,0,0,0
Valley View,126,190,378,406,386,382,354,328,246,191,153,180
Upper Dawson,394,592,"1,177","1,265","1,203","1,190","1,102","1,022",767,595,476,561
Camp Far West,"1,124","1,690","3,360","3,612","3,435","3,398","3,145","2,918","2,189","1,698","1,360","1,602"
Jones Fork,439,660,"1,313","1,412","1,342","1,328","1,229","1,140",855,664,531,626
Camanche,"2,350","3,534","7,029","7,556","7,185","7,107","6,578","6,103","4,578","3,552","2,844","3,351"
Drop 1,314,472,938,"1,008",959,948,878,814,611,474,379,447
East Highline,122,184,366,393,374,370,342,318,238,185,148,174
Oak Flat,164,247,491,527,501,496,459,426,320,248,198,234
Newcastle,814,"1,224","2,435","2,617","2,488","2,462","2,278","2,114","1,586","1,230",985,"1,160"
Kerckhoff 2,"14,169","52,112","77,930","90,503","106,557","101,536","87,917","53,191","36,629","21,471","11,721","14,745"
Toadtown,165,248,493,530,504,498,461,428,321,249,199,235
Etiwanda,"2,516","3,784","7,526","8,090","7,692","7,610","7,043","6,535","4,902","3,803","3,045","3,587"
Moccasin Low Head Hydro Project,0,0,0,0,0,0,0,0,0,0,0,0
Sly Creek,"1,454","2,187","4,350","4,676","4,446","4,399","4,071","3,777","2,833","2,198","1,760","2,074"
Scott Flat,188,283,564,606,576,570,528,489,367,285,228,269
Combie South,301,453,901,969,921,911,843,782,587,455,365,430
Alamo,"2,397","3,605","7,171","7,708","7,329","7,250","6,711","6,226","4,670","3,623","2,901","3,418"
New Melones,"1,220","20,089","117,667","140,235","87,338","76,196","95,921","74,582","40,374","31,578","14,541","48,715"
W E Warne,"7,802","11,733","23,336","25,084","23,851","23,595","21,839","20,262","15,198","11,791","9,441","11,123"
Azusa,0,0,0,0,0,0,0,0,0,0,0,0
San Francisquito 1,"9,768","14,689","29,215","31,403","29,860","29,539","27,340","25,366","19,027","14,761","11,819","13,925"
San Francisquito 2,"2,985","4,488","8,927","9,596","9,124","9,026","8,354","7,751","5,814","4,511","3,612","4,255"
Union Valley,"4,857","7,304","14,528","15,616","14,849","14,689","13,596","12,614","9,462","7,341","5,877","6,925"
Greg Avenue,0,0,0,0,0,0,0,0,0,0,0,0
Lake Mathews,142,214,425,457,434,430,398,369,277,215,172,202
Foothill Feeder,"1,687","2,537","5,046","5,423","5,157","5,102","4,722","4,381","3,286","2,549","2,041","2,405"
San Dimas,"1,364","2,051","4,078","4,384","4,169","4,124","3,817","3,541","2,656","2,061","1,650","1,944"
Yorba Linda,721,"1,084","2,155","2,317","2,203","2,179","2,017","1,871","1,404","1,089",872,"1,027"
Stampede,466,700,"1,392","1,497","1,423","1,408","1,303","1,209",907,704,563,664
Mojave Siphon,"2,939","4,420","8,790","9,449","8,985","8,888","8,226","7,633","5,725","4,442","3,556","4,190"
Thermalito Diverson Dam,616,926,"1,841","1,979","1,882","1,862","1,723","1,599","1,199",930,745,878
Mill Creek 3,403,607,"1,207","1,297","1,233","1,220","1,129","1,048",786,610,488,575
Stony Gorge,546,820,"1,632","1,754","1,668","1,650","1,527","1,417","1,063",824,660,778
Whiskeytown,974,"1,464","2,912","3,130","2,976","2,944","2,725","2,528","1,896","1,471","1,178","1,388"
Black Butte,687,"1,034","2,056","2,210","2,101","2,079","1,924","1,785","1,339","1,039",832,980
