,Export(MW)
2019-01-25 13,20282.965833333332
2019-01-25 14,20747.70583333333
2019-01-25 15,21436.565
2019-01-25 16,22583.802499999994
2019-01-25 17,25498.08166666667
2019-01-25 18,25537.632500000003
2019-01-25 19,24512.438333333328
2019-01-25 20,24230.05083333333
2019-01-25 21,23807.104166666668
2019-01-25 22,23565.587499999998
2019-01-25 23,20808.739166666663
2019-01-26 00,20744.66
2019-01-26 01,20304.16083333333
2019-01-26 02,20480.376666666667
2019-01-26 03,20170.789999999997
2019-01-26 04,20470.8775
2019-01-26 05,22019.551666666663
2019-01-26 06,22700.142500000005
2019-01-26 07,21729.825833333332
2019-01-26 08,21821.345
2019-01-26 09,20969.634166666667
2019-01-26 10,20373.011666666665
2019-01-26 11,19776.98833333334
2019-01-26 12,19665.170833333334
2019-01-26 13,20121.091666666664
2019-01-26 14,19449.91083333333
2019-01-26 15,20098.310833333333
2019-01-26 16,21626.185
2019-01-26 17,22914.852499999997
2019-01-26 18,23532.32416666667
2019-01-26 19,23240.193333333333
2019-01-26 20,23102.545
2019-01-26 21,23157.633333333335
2019-01-26 22,22661.259166666667
2019-01-26 23,20335.63916666667
2019-01-27 00,20709.9575
2019-01-27 01,20712.514166666664
2019-01-27 02,20421.803333333333
2019-01-27 03,19967.513333333336
2019-01-27 04,20287.7575
2019-01-27 05,21302.069999999996
2019-01-27 06,21935.672500000004
2019-01-27 07,22793.046666666665
2019-01-27 08,22292.827499999996
2019-01-27 09,21870.581666666665
2019-01-27 10,22518.873333333337
2019-01-27 11,22745.372499999998
2019-01-27 12,23524.299166666668
2019-01-27 13,23831.323333333334
2019-01-27 14,22506.397500000003
2019-01-27 15,21628.8225
2019-01-27 16,20617.95333333333
2019-01-27 17,22525.959999999995
2019-01-27 18,23858.145000000004
2019-01-27 19,23507.103333333333
2019-01-27 20,22975.505833333333
2019-01-27 21,21562.005833333333
2019-01-27 22,21332.041666666664
2019-01-27 23,20713.294166666667
2019-01-28 00,19149.676666666666
2019-01-28 01,18666.833333333332
2019-01-28 02,18916.98583333333
2019-01-28 03,19655.4975
2019-01-28 04,19685.9325
2019-01-28 05,20396.735833333336
2019-01-28 06,21892.416666666668
2019-01-28 07,22866.103333333333
2019-01-28 08,21795.689166666667
2019-01-28 09,21287.653333333332
2019-01-28 10,20509.7775
2019-01-28 11,19948.48833333333
2019-01-28 12,19822.0125
2019-01-28 13,19179.044166666667
2019-01-28 14,20816.971666666668
2019-01-28 15,21851.14333333333
2019-01-28 16,22073.291666666668
2019-01-28 17,22198.3425
2019-01-28 18,22827.17833333333
2019-01-28 19,23846.216666666664
2019-01-28 20,22947.719999999998
2019-01-28 21,22313.930833333336
2019-01-28 22,22058.072499999995
2019-01-28 23,20046.880833333336
