name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
325_G_3,Hydro,2,0,0.027261888,0,2,0,0,14130,9999,
325_G_4,Hydro,2.2,0,0.013313287,0,2.2,0,0,14130,9999,
325_G_5,Hydro,2,0,0.049184387,0,2,0,0,14130,9999,
326_G_1,Hydro,2,0,0.027368971,0,2,0,0,14130,9999,
326_G_2,Hydro,1.8,0,0.011705103,0,1.8,0,0,14130,9999,
327_G_1,Hydro,1.6,0,0.016678772,0,1.6,0,0,14130,9999,
328_G_1,Hydro,2.1,0,0.00748582,0,2.1,0,0,14130,9999,
328_G_2,Hydro,2.5,0,0.011121314,0,2.5,0,0,14130,9999,
328_G_3,Hydro,6,0,0.009003289,0,6,0,0,14130,9999,
332_G_1,Hydro,1.5,0,0.001813938,0,1.5,0,0,14130,9999,
332_G_2,Hydro,1.5,0,0.019403239,0,1.5,0,0,14130,9999,
336_G_2,Hydro,1.8,0,0.043343036,0,1.8,0,0,14130,9999,
337_G_1,Hydro,2.3,0,0.035540375,0,2.3,0,0,14130,9999,
338_G_1,Hydro,2.4,0,0.028887293,0,2.4,0,0,14130,9999,
338_G_2,Hydro,2.1,0,0.030498578,0,2.1,0,0,14130,9999,
339_G_1,Hydro,20.5,0,0.009270271,0,20.5,0,0,14130,9999,
339_G_2,Hydro,19.7,0,0.047987824,0,19.7,0,0,14130,9999,
34_G_1P,Hydro,12.1,0,0.0161093,0,12.1,0,0,14130,9999,
340_G_1,Hydro,6.6,0,0.0305526,0,6.6,0,0,14130,9999,
340_G_2,Hydro,6.6,0,0.027179237,0,6.6,0,0,14130,9999,
340_G_3,Hydro,6.6,0,0.042462007,0,6.6,0,0,14130,9999,
340_G_4,Hydro,6.6,0,0.005118751,0,6.6,0,0,14130,9999,
342_G_1,Hydro,1.5,0,0.03041426,0,1.5,0,0,14130,9999,
342_G_2,Hydro,1.5,0,0.015993895,0,1.5,0,0,14130,9999,
344_G_1,Hydro,80,0,0.022076172,0,80,0,0,14130,9999,
344_G_2,Hydro,80,0,0.02016281,0,80,0,0,14130,9999,
353_G_1,Hydro,11.3,0,0.000533117,0,11.3,0,0,14130,9999,
354_G_1,Hydro,10.8,0,0.031937908,0,10.8,0,0,14130,9999,
357_G_1,Hydro,5.9,0,0.020933047,0,5.9,0,0,14130,9999,
357_G_2,Hydro,5.5,0,0.034693406,0,5.5,0,0,14130,9999,
361_G_1,Hydro,0.8,0,0.023646723,0,0.8,0,0,14130,9999,
361_G_2,Hydro,0.8,0,0.021717614,0,0.8,0,0,14130,9999,
361_G_3,Hydro,0.8,0,0.019447588,0,0.8,0,0,14130,9999,
361_G_4,Hydro,0.8,0,0.008013262,0,0.8,0,0,14130,9999,
363_G_1,Hydro,3.1,0,0.039613614,0,3.1,0,0,14130,9999,
365_G_1,Hydro,1.3,0,0.04971725,0,1.3,0,0,14130,9999,
365_G_2,Hydro,1.3,0,0.008029865,0,1.3,0,0,14130,9999,
376_G_1,Hydro,8.9,0,0.046404942,0,8.9,0,0,14130,9999,
376_G_2,Hydro,8.9,0,0.034832649,0,8.9,0,0,14130,9999,
376_G_3,Hydro,9.9,0,0.03895982,0,9.9,0,0,14130,9999,
380_G_1,Hydro,78.4,0,0.014597588,0,78.4,0,0,14130,9999,
380_G_2,Hydro,78.4,0,0.024143607,0,78.4,0,0,14130,9999,
381_G_1,Hydro,50,0,0.01107493,0,50,0,0,14130,9999,
381_G_2,Hydro,50,0,0.045574052,0,50,0,0,14130,9999,
382_G_1,Hydro,39.5,0,0.029906968,0,39.5,0,0,14130,9999,
382_G_2,Hydro,39.5,0,0.003730797,0,39.5,0,0,14130,9999,
382_G_3,Hydro,36.5,0,0.0210259,0,36.5,0,0,14130,9999,
385_G_1,Hydro,4.9,0,0.018666031,0,4.9,0,0,14130,9999,
385_G_2,Hydro,4.9,0,0.041817653,0,4.9,0,0,14130,9999,
386_G_1,Hydro,2.7,0,0.016363418,0,2.7,0,0,14130,9999,
386_G_2,Hydro,4.6,0,0.006952723,0,4.6,0,0,14130,9999,
387_G_1,Hydro,8.1,0,0.037925554,0,8.1,0,0,14130,9999,
387_G_2,Hydro,11,0,0.043423141,0,11,0,0,14130,9999,
388_G_1,Hydro,10.4,0,0.005312446,0,10.4,0,0,14130,9999,
388_G_2,Hydro,7.7,0,0.045838357,0,7.7,0,0,14130,9999,
391_G_1,Hydro,3,0,0.01305885,0,3,0,0,14130,9999,
392_G_7,Hydro,55.9,0,0.037571414,0,55.9,0,0,14130,9999,
393_G_1,Hydro,37.5,0,0.02972348,0,37.5,0,0,14130,9999,
394_G_1,Hydro,1.2,0,0.005625378,0,1.2,0,0,14130,9999,
394_G_2,Hydro,1.2,0,0.04892345,0,1.2,0,0,14130,9999,
396_G_1,Hydro,8.6,0,0.007563402,0,8.6,0,0,14130,9999,
397_G_1,Hydro,2,0,0.024997746,0,2,0,0,14130,9999,
398_G_1,Hydro,2.5,0,0.046607698,0,2.5,0,0,14130,9999,
398_G_2,Hydro,2.5,0,0.000159818,0,2.5,0,0,14130,9999,
400_G_11,Combustion Turbine,96.3,38.52,50.52285594,2,32.9346,2457.812361,15.45,7340,9999,
400_G_12,Combustion Turbine,96.3,38.52,50.52062262,2,32.9346,2457.812361,15.45,7340,9999,
400_G_13,Combustion Turbine,96.3,38.52,50.53251394,2,32.9346,2457.812361,15.45,7340,9999,
400_G_14,Combustion Turbine,96.3,38.52,50.52686031,2,32.9346,2457.812361,15.45,7340,9999,
400_G_15,Combustion Turbine,96.3,38.52,50.53102854,2,32.9346,2457.812361,15.45,7340,9999,
400_G_16,Combustion Turbine,96.3,38.52,50.4975562,2,32.9346,2457.812361,15.45,7340,9999,
401_G_1,Hydro,37.5,0,0.025739341,0,37.5,0,0,14130,9999,
402_G_1,Hydro,2.7,0,0.023716437,0,2.7,0,0,14130,9999,
