name,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
260_G_CT2B,165.0,66.0,27.047739899999996,4,52.47,16844.819919999998,3.6,13170,0.0
55151_G_GEN2,241.6,96.64,27.08506875,4,76.8288,24664.89996,3.6,13170,0.0
55151_G_GEN4,242.7,97.08,27.09830506,4,77.1786,24777.19876,3.6,13170,0.0
55151_G_GEN1,243.7,97.48,27.14581479,4,77.4966,24879.28857,3.6,13170,0.0
55182_G_STG,245.0,98.0,27.18337321,4,77.91,25012.00534,3.6,13170,0.0
55182_G_X718,150.0,60.0,27.18480503,4,47.7,15313.47265,3.6,13170,0.0
55151_G_GEN3,237.4,94.96,27.19196536,4,75.4932,24236.12272,3.6,13170,0.0
55182_G_X719,150.0,60.0,27.22836982,4,47.7,15313.47265,3.6,13170,0.0
55518_G_CTG1,167.3,66.92,27.24022538,4,53.2014,17079.6265,3.6,13170,0.0
400_G_9,157.5,63.0,27.24068691,4,50.085,16079.14629,3.6,13170,0.0
55518_G_CTG3,167.5,67.0,27.24165641,4,53.265,17100.04446,3.6,13170,0.0
400_G_8,235.0,94.0,27.24355466,4,74.73,23991.10716,3.6,13170,0.0
400_G_10,157.5,63.0,27.26170238,4,50.085,16079.14629,3.6,13170,0.0
55518_G_CTG2,167.7,67.08,27.26235795,4,53.3286,17120.46243,3.6,13170,0.0
55518_G_STG1,304.8,121.92,27.266385600000003,4,96.9264,31116.976430000002,3.6,13170,0.0
55345_G_1-02,152.8,61.12,27.36280483,4,48.5904,15599.32414,3.6,13170,0.0
55345_G_1-03,265.4,106.16,27.39531495,4,84.3972,27094.637619999998,3.6,13170,0.0
55345_G_1-01,152.8,61.12,27.39587374,4,48.5904,15599.32414,3.6,13170,0.0
55295_G_CT2,156.5,62.6,27.45620326,4,49.766999999999996,15977.05647,3.6,13170,0.0
55295_G_CT1,156.5,62.6,27.47726988,4,49.766999999999996,15977.05647,3.6,13170,0.0
55295_G_ST1,201.0,80.4,27.47923736,4,63.918,20520.053359999998,3.6,13170,0.0
408_G_7,156.0,62.4,27.71301055,4,49.608000000000004,15926.011559999999,3.6,13170,0.0
408_G_6,156.0,62.4,27.72804543,4,49.608000000000004,15926.011559999999,3.6,13170,0.0
408_G_8,201.0,80.4,27.75102419,4,63.918,20520.053359999998,3.6,13170,0.0
55333_G_CTG1,176.0,70.4,27.82565572,4,55.968,17967.80791,3.6,13170,0.0
55333_G_CTG3,165.0,66.0,27.83414345,4,52.47,16844.819919999998,3.6,13170,0.0
55333_G_CTG2,165.0,66.0,27.84710567,4,52.47,16844.819919999998,3.6,13170,0.0
55333_G_STG1,263.1,105.24,27.85168337,4,83.6658,26859.831039999997,3.6,13170,0.0
358_G_MV3C,188.0,75.2,28.02161997,4,59.784,19192.88573,3.6,13170,0.0
358_G_MV3A,149.0,59.6,28.02212556,4,47.382,15211.38284,3.6,13170,0.0
358_G_MV4B,149.0,59.6,28.03854136,4,47.382,15211.38284,3.6,13170,0.0
358_G_MV3B,149.0,59.6,28.03898216,4,47.382,15211.38284,3.6,13170,0.0
358_G_MV4C,188.0,75.2,28.039907899999996,4,59.784,19192.88573,3.6,13170,0.0
358_G_MV4A,149.0,59.6,28.0459908,4,47.382,15211.38284,3.6,13170,0.0
57122_G_CTG1,13.5,5.4,28.351266100000004,4,8.6265,1378.212539,3.6,13170,0.0
10213_G_GEN7,40.7,16.28,28.3578271,4,26.0073,4155.055579999999,3.6,13170,0.0
58198_G_STG1,1.8,0.72,28.36133183,4,1.1502,183.7616719,3.6,13170,0.0
52073_G_GEN1,12.5,5.0,28.36382395,4,7.9875,1276.1227210000002,3.6,13170,0.0
58198_G_GTG2,5.5,2.2,28.36955645,4,3.5145,561.4939972999999,3.6,13170,0.0
10213_G_GEN8,5.2,2.08,28.36994033,4,3.3228,530.867052,3.6,13170,0.0
52073_G_GEN2,12.5,5.0,28.37385419,4,7.9875,1276.1227210000002,3.6,13170,0.0
52073_G_GEN3,11.0,4.4,28.37832116,4,7.029,1122.987995,3.6,13170,0.0
58198_G_GTG1,5.2,2.08,28.38538755,4,3.3228,530.867052,3.6,13170,0.0
57584_G_ST1,13.5,5.4,28.38652058,4,8.6265,1378.212539,3.6,13170,0.0
57584_G_STG,3.0,1.2,28.39053198,4,1.9169999999999998,306.2694531,3.6,13170,0.0
57122_G_STG1,5.5,2.2,28.39434278,4,3.5145,561.4939972999999,3.6,13170,0.0
57584_G_NT2,13.5,5.4,28.39519385,4,8.6265,1378.212539,3.6,13170,0.0
56041_G_M1,42.0,16.8,28.64655777,4,26.838,4287.772343,3.6,13170,0.0
56041_G_M3,50.0,20.0,28.64992791,4,31.95,5104.490885,3.6,13170,0.0
56041_G_M2,42.0,16.8,28.68787907,4,26.838,4287.772343,3.6,13170,0.0
55112_G_CT02,175.0,70.0,28.78269169,4,55.65,17865.7181,3.6,13170,0.0
55112_G_ST01,180.0,72.0,28.78487841,4,57.24,18376.16719,3.6,13170,0.0
56298_G_0002,38.0,15.2,28.78764327,4,24.281999999999996,3879.413072,3.6,13170,0.0
56298_G_0001,38.0,15.2,28.79343579,4,24.281999999999996,3879.413072,3.6,13170,0.0
55112_G_CT01,175.0,70.0,28.80466415,4,55.65,17865.7181,3.6,13170,0.0
56298_G_0003,75.0,30.0,28.82234501,4,47.925,7656.736327,3.6,13170,0.0
54749_G_CTG,40.0,16.0,29.07498981,4,25.56,4083.5927079999997,3.6,13170,0.0
54749_G_STG,9.4,3.76,29.08726623,4,6.0066,959.6442863,3.6,13170,0.0
56078_G_3,101.0,40.4,29.1455915,4,32.118,10311.071590000001,3.6,13170,0.0
56078_G_2,84.0,33.6,29.15422601,4,53.676,8575.544687,3.6,13170,0.0
56078_G_1,84.0,33.6,29.17824364,4,53.676,8575.544687,3.6,13170,0.0
50851_G_GEN2,6.8,2.72,29.22319091,4,4.3452,694.2107603,3.6,13170,0.0
50851_G_GEN1,21.5,8.6,29.25825638,4,13.7385,2194.9310800000003,3.6,13170,0.0
57564_G_STG2,12.5,5.0,29.28152949,4,7.9875,1276.1227210000002,3.6,13170,0.0
57564_G_CTG,49.0,19.6,29.29859811,4,31.311,5002.401067,3.6,13170,0.0
7552_G_CCCT,111.0,44.4,29.96341355,4,35.298,11331.96976,3.6,13170,0.0
