Energy.Source.1,Technology,Utility.ID,Generator.ID,Prime.Mover,Nameplate.Capacity..MW.,Nameplate.Power.Factor,Summer.Capacity..MW.,Winter.Capacity..MW.,Minimum.Load..MW.,Planned.Retirement.Month,Planned.Retirement.Year,VOM,fuelTypes,unit,heatRateLow,heatRateHigh,fuelCost,Notes,capacityQuantile,capacityQuan
DFO,Petroleum Liquids,58548,EM1,IC,0.4,0.8,0.4,0.4,0.2,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0,C
DFO,Petroleum Liquids,58893,EG11B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,3476,5084,IC,1.5,0.8,1.5,1.5,0.1,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.155339806,C
DFO,Petroleum Liquids,61087,G-3,IC,3,1,3,3,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.844660194,A
DFO,Petroleum Liquids,58893,EG13A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,61089,G-5,IC,1,1,1,1,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.038834951,C
DFO,Petroleum Liquids,58893,19B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,58893,21A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,58893,EG5A,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,11161,GEN4,IC,1.7,0.8,1.7,1.7,0.9,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.203883495,C
DFO,Petroleum Liquids,58893,EG5B,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,61087,G-8,IC,3,1,3,3,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.844660194,A
DFO,Petroleum Liquids,58893,EG1A,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,60608,OG#3,IC,1.1,0.9,0.9,0.9,0.4,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.116504854,C
DFO,Petroleum Liquids,58548,BS1,IC,0.6,0.8,0.6,0.6,0.4,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.019417476,C
DFO,Petroleum Liquids,58893,17B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,3476,5083,IC,1.5,0.8,1.5,1.5,0.1,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.155339806,C
DFO,Petroleum Liquids,58893,EG12B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,58893,18B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,19798,JH2,IC,6,0.8,3.6,4,3.6,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.941747573,A
DFO,Petroleum Liquids,58893,EG14A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,61078,G-2,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,57222,KB3,IC,2.5,0.94,2,2,0.6,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.776699029,A
DFO,Petroleum Liquids,58893,EG4A,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,61086,G-4,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,58893,EG4B,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
