"","OPR_DT","OPR_HR","OPR_INTERVAL","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","TRADING_HUB","RENEWABLE_TYPE","LABEL","XML_DATA_ITEM","MARKET_RUN_ID_POS","RENEW_POS","MW","MARKET_RUN_ID","GROUP"
"53","2019-10-16",3,0,"2019-10-16T09:00:00-00:00","2019-10-16T10:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"54","2019-10-16",10,0,"2019-10-16T16:00:00-00:00","2019-10-16T17:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,5473.83,"DAM",3
"55","2019-10-16",2,0,"2019-10-16T08:00:00-00:00","2019-10-16T09:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"56","2019-10-16",13,0,"2019-10-16T19:00:00-00:00","2019-10-16T20:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,6004.89,"DAM",3
"57","2019-10-16",24,0,"2019-10-17T06:00:00-00:00","2019-10-17T07:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"58","2019-10-16",9,0,"2019-10-16T15:00:00-00:00","2019-10-16T16:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,3964.77,"DAM",3
"59","2019-10-16",23,0,"2019-10-17T05:00:00-00:00","2019-10-17T06:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"60","2019-10-16",16,0,"2019-10-16T22:00:00-00:00","2019-10-16T23:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,5142.92,"DAM",3
"61","2019-10-16",22,0,"2019-10-17T04:00:00-00:00","2019-10-17T05:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"62","2019-10-16",8,0,"2019-10-16T14:00:00-00:00","2019-10-16T15:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,1071.88,"DAM",3
"63","2019-10-16",21,0,"2019-10-17T03:00:00-00:00","2019-10-17T04:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"64","2019-10-16",12,0,"2019-10-16T18:00:00-00:00","2019-10-16T19:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,6005.44,"DAM",3
"65","2019-10-16",20,0,"2019-10-17T02:00:00-00:00","2019-10-17T03:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0.11,"DAM",3
"66","2019-10-16",7,0,"2019-10-16T13:00:00-00:00","2019-10-16T14:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,9.96,"DAM",3
"67","2019-10-16",19,0,"2019-10-17T01:00:00-00:00","2019-10-17T02:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,47.51,"DAM",3
"68","2019-10-16",14,0,"2019-10-16T20:00:00-00:00","2019-10-16T21:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,5913.75,"DAM",3
"69","2019-10-16",17,0,"2019-10-16T23:00:00-00:00","2019-10-17T00:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,3794.97,"DAM",3
"70","2019-10-16",18,0,"2019-10-17T00:00:00-00:00","2019-10-17T01:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,223.12,"DAM",4
"71","2019-10-16",19,0,"2019-10-17T01:00:00-00:00","2019-10-17T02:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,323.71,"DAM",4
"72","2019-10-16",20,0,"2019-10-17T02:00:00-00:00","2019-10-17T03:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,519.2,"DAM",4
"73","2019-10-16",21,0,"2019-10-17T03:00:00-00:00","2019-10-17T04:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,685.65,"DAM",4
"74","2019-10-16",22,0,"2019-10-17T04:00:00-00:00","2019-10-17T05:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,866.78,"DAM",4
"75","2019-10-16",23,0,"2019-10-17T05:00:00-00:00","2019-10-17T06:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,986.13,"DAM",4
"76","2019-10-16",24,0,"2019-10-17T06:00:00-00:00","2019-10-17T07:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,1052.01,"DAM",4
"77","2019-10-16",2,0,"2019-10-16T08:00:00-00:00","2019-10-16T09:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,163.35,"DAM",4
"78","2019-10-16",3,0,"2019-10-16T09:00:00-00:00","2019-10-16T10:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,146.43,"DAM",4
"79","2019-10-16",4,0,"2019-10-16T10:00:00-00:00","2019-10-16T11:00:00-00:00","SP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,127.74,"DAM",4
