,OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
19,3/30/19,20,0,2019-03-31T02:00:00-00:00,2019-03-31T03:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,20.1,DAM,1
45,3/30/19,20,0,2019-03-31T02:00:00-00:00,2019-03-31T03:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,184.37,DAM,2
65,3/30/19,20,0,2019-03-31T02:00:00-00:00,2019-03-31T03:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,29.69,DAM,3
72,3/30/19,20,0,2019-03-31T02:00:00-00:00,2019-03-31T03:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,598.91,DAM,4
95,3/30/19,20,0,2019-03-31T02:00:00-00:00,2019-03-31T03:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4.21,DAM,5
20,3/30/19,21,0,2019-03-31T03:00:00-00:00,2019-03-31T04:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
44,3/30/19,21,0,2019-03-31T03:00:00-00:00,2019-03-31T04:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,248.01,DAM,2
63,3/30/19,21,0,2019-03-31T03:00:00-00:00,2019-03-31T04:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0.11,DAM,3
73,3/30/19,21,0,2019-03-31T03:00:00-00:00,2019-03-31T04:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,717.67,DAM,4
96,3/30/19,21,0,2019-03-31T03:00:00-00:00,2019-03-31T04:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
21,3/30/19,22,0,2019-03-31T04:00:00-00:00,2019-03-31T05:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
43,3/30/19,22,0,2019-03-31T04:00:00-00:00,2019-03-31T05:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,285.06,DAM,2
61,3/30/19,22,0,2019-03-31T04:00:00-00:00,2019-03-31T05:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
