"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"105","2019-09-10T05:25:00-00:00","2019-09-10T05:30:00-00:00","ALL","2019-09-09",23,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21319.78,1
"106","2019-09-10T05:30:00-00:00","2019-09-10T05:35:00-00:00","ALL","2019-09-09",23,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21327.87,1
"107","2019-09-10T05:35:00-00:00","2019-09-10T05:40:00-00:00","ALL","2019-09-09",23,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21575.4,1
"108","2019-09-09T09:35:00-00:00","2019-09-09T09:40:00-00:00","ALL","2019-09-09",3,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19369.93,1
"109","2019-09-09T09:40:00-00:00","2019-09-09T09:45:00-00:00","ALL","2019-09-09",3,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19409.95,1
"110","2019-09-09T10:00:00-00:00","2019-09-09T10:05:00-00:00","ALL","2019-09-09",4,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19558.51,1
"111","2019-09-09T10:10:00-00:00","2019-09-09T10:15:00-00:00","ALL","2019-09-09",4,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19320.92,1
"112","2019-09-09T10:40:00-00:00","2019-09-09T10:45:00-00:00","ALL","2019-09-09",4,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19161.95,1
"113","2019-09-09T11:25:00-00:00","2019-09-09T11:30:00-00:00","ALL","2019-09-09",5,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19755.42,1
"114","2019-09-09T12:15:00-00:00","2019-09-09T12:20:00-00:00","ALL","2019-09-09",6,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20243.37,1
